IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0,,,0,,0,0 [0-0],,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.1,,,0.1,,0.2,0.1 [0.1-0.2],,The most recent survey was conducted in 2020. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GHA,Ghana,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.3,,,0.2,,0.5,0.3 [0.2-0.5],,The most recent survey was conducted in 2017-18. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.5,0.4 [0.2-0.5],,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2016-17. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.4,,,0.2,,0.6,0.4 [0.2-0.6],,The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.5,,,0.3,,0.7,0.5 [0.3-0.7],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.5,,,0.3,,0.7,0.5 [0.3-0.7],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.6,,,0.3,,0.9,0.6 [0.3-0.9],,The most recent survey was conducted in 2019. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,DZA,Algeria,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.7,,,0.4,,0.9,0.7 [0.4-0.9],,The most recent survey was conducted in 2016-17. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,SEN,Senegal,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.7,,,0.4,,0.9,0.7 [0.4-0.9],,The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,GMB,Gambia,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.7,,,0.4,,1,0.7 [0.4-1.0],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.7,,,0.5,,1,0.7 [0.5-1.0],,The most recent survey was conducted in 2019. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.8,,,0.4,,1.1,0.8 [0.4-1.1],,The most recent survey was conducted in 2016. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,MLI,Mali,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,0.9,,,0.5,,1.3,0.9 [0.5-1.3],,The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,0.4,,1.6,1.0 [0.4-1.6],,Tobacco use estimates are not available. Tobacco smoking estimates are substituted for missing tobacco use estimates. The most recent survey was conducted in 2018. This is a projection.,EN,2024-01-15T21:00:00.000Z
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized rate),numeric,AFR,Africa,Country,TGO,Togo,Year,2022,false,Sex,Female,SEX_FMLE,,,,,,,,,,1,,,0.5,,1.6,1.0 [0.5-1.6],,The most recent survey was conducted in 2017. This is a projection.,EN,2024-01-15T21:00:00.000Z
